asn=0    	id=-1  	Main	copying configuration file E:\test-projects\TSCH_experiment\my_experiment\13NodeExp\configManual.json to output directory E:\test-projects\TSCH_experiment\results\2022-02-15_15-19-33\configManual.json[MAIN]
asn=0    	id=-1  	Main	initializing 1200 seconds long simulation...[SIMULATOR]
asn=0    	id=-1  	TSCH	Setting the communication Range(UDGM/pathloss/pister) [link_model]
asn=0    	id=-1  	TSCH	calling  Manual Routing [Routing_Manual]
asn=0    	id=-1  	TSCH	initializing leaf-and-forwarder scheduler [SCHEDULER_NEW]
asn=0    	id=-1  	Main	creating 4 "node" nodes...[SIMULATOR]
asn=0    	id=-1  	Main	Adding Start_ID: 1 to Array type_ids1[SIMULATOR]
asn=0    	id=-1  	Main	Adding Start_ID: 2 to Array type_ids1,2[SIMULATOR]
asn=0    	id=-1  	Main	Adding Start_ID: 3 to Array type_ids1,2,3[SIMULATOR]
asn=0    	id=-1  	Main	Adding Start_ID: 4 to Array type_ids1,2,3,4[SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=1, X= 20, Y =25 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=2, X= 22, Y =22 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=3, X= 17, Y =22 [SIMULATOR]
asn=0    	id=-1  	Main	position specified for node ID=4, X= 17, Y =27 [SIMULATOR]
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=40 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=40 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=40 warmup=0 [PACKET_SOURCE]
asn=0    	id=-1  	Main	simulation created[SIMULATOR]
asn=0    	id=-1  	Main	starting simulation main loop...[SIMULATOR]
asn=0    	id=1   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=1   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=1   	Node	Slotframe number 1 added from node: 1 [NODE]
asn=0    	id=1   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=1   	TSCH	about to add cells at channel offset=2 called by node 1 [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 3 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 3 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=1   	TSCH	Adding cells through: 1 length: 3 [2]
asn=0    	id=1   	Node	Add cell in timeslot: 3 channel offset: 3 in slotframe: 1
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=1   	TSCH	Node has joined TSCH as coordinator [NODE]
asn=0    	id=1   	Node	Start method called from Manual Routing for 1
asn=0    	id=1   	Node	Route File Read successfully [ROUTING MANUAL]
asn=0    	id=1   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=0    	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=0    	id=1   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=1   	Node	update time source called [NODE]
asn=0    	id=1   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=2   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=2   	Node	Slotframe number 1 added from node: 2 [NODE]
asn=0    	id=2   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=2   	TSCH	about to add cells at channel offset=3 called by node 2 [SCHEDULER NEW]
asn=0    	id=2   	Node	Add cell in timeslot: 1 channel offset: 1 in slotframe: 1
asn=0    	id=2   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=2   	Node	update time source called [NODE]
asn=0    	id=2   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=2   	Node	scanning on channel=20...[NODE]
asn=0    	id=3   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=3   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=3   	Node	Slotframe number 1 added from node: 3 [NODE]
asn=0    	id=3   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=3   	TSCH	about to add cells at channel offset=4 called by node 3 [SCHEDULER NEW]
asn=0    	id=3   	Node	Add cell in timeslot: 2 channel offset: 2 in slotframe: 1
asn=0    	id=3   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=3   	Node	update time source called [NODE]
asn=0    	id=3   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=3   	Node	scanning on channel=26...[NODE]
asn=0    	id=4   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=0    	id=4   	TSCH	*** initializing leaf-and-forwarder scheduler, slotframe_size=15 [SCHEDULER NEW]
asn=0    	id=4   	Node	Slotframe number 1 added from node: 4 [NODE]
asn=0    	id=4   	Node	Add cell in timeslot: 0 channel offset: 0 in slotframe: 1
asn=0    	id=4   	TSCH	about to add cells at channel offset=5 called by node 4 [SCHEDULER NEW]
asn=0    	id=4   	Node	Add cell in timeslot: 3 channel offset: 3 in slotframe: 1
asn=0    	id=4   	TSCH	Node has joined TSCH [NODE]
asn=0    	id=4   	Node	update time source called [NODE]
asn=0    	id=4   	Main	Local repair method called from Manual Routing [ROUTING MANUAL]
asn=0    	id=4   	Node	scanning on channel=25...[NODE]
asn=15   	id=2   	Node	add neighbor id=1 [NODE]
asn=15   	id=2   	Node	Add_route called from ensure neighbor
asn=15   	id=2   	TSCH	joined/associated at 0.15 on receiving an EB packet from 1[NODE]
asn=15   	id=2   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=15   	id=2   	Node	update time source called [NODE]
asn=15   	id=2   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=15   	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15   	id=2   	Node	Start method called from Manual Routing for 2
asn=15   	id=2   	Node	Route File Read successfully [ROUTING MANUAL]
asn=15   	id=2   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=15   	id=2   	Node	Reading routes for Node 2 [ROUTING MANUAL]
asn=15   	id=2   	Node	Destination = 1, Nexthop = 1 [ROUTING MANUAL]
asn=15   	id=2   	Node	Route added to destination node id: 1 through next hop node id: 1 in the routing table of node: 2
asn=15   	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15   	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=15   	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=15   	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=100  	id=4   	Node	scanning on channel=15...[NODE]
asn=100  	id=3   	Node	scanning on channel=25...[NODE]
asn=200  	id=4   	Node	scanning on channel=20...[NODE]
asn=200  	id=3   	Node	scanning on channel=20...[NODE]
asn=301  	id=4   	Node	scanning on channel=26...[NODE]
asn=402  	id=4   	Node	scanning on channel=25...[NODE]
asn=402  	id=3   	Node	scanning on channel=26...[NODE]
asn=503  	id=4   	Node	scanning on channel=26...[NODE]
asn=604  	id=3   	Node	scanning on channel=15...[NODE]
asn=705  	id=4   	Node	scanning on channel=20...[NODE]
asn=705  	id=3   	Node	scanning on channel=25...[NODE]
asn=806  	id=4   	Node	scanning on channel=25...[NODE]
asn=806  	id=3   	Node	scanning on channel=26...[NODE]
asn=871  	id=3   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=907  	id=4   	Node	scanning on channel=15...[NODE]
asn=998  	id=4   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=1008 	id=4   	Node	scanning on channel=26...[NODE]
asn=1095 	id=1   	Node	add neighbor id=2 [NODE]
asn=1095 	id=1   	Node	Add_route called from ensure neighbor
asn=1095 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1095 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1109 	id=4   	Node	scanning on channel=20...[NODE]
asn=1210 	id=3   	Node	scanning on channel=20...[NODE]
asn=1311 	id=4   	Node	scanning on channel=25...[NODE]
asn=1311 	id=3   	Node	scanning on channel=25...[NODE]
asn=1380 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1380 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=1380 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=1412 	id=4   	Node	scanning on channel=26...[NODE]
asn=1412 	id=3   	Node	scanning on channel=26...[NODE]
asn=1613 	id=4   	Node	scanning on channel=20...[NODE]
asn=1713 	id=4   	Node	scanning on channel=26...[NODE]
asn=1713 	id=3   	Node	scanning on channel=25...[NODE]
asn=1813 	id=4   	Node	scanning on channel=25...[NODE]
asn=1813 	id=3   	Node	scanning on channel=26...[NODE]
asn=1913 	id=3   	Node	scanning on channel=20...[NODE]
asn=2013 	id=4   	Node	scanning on channel=20...[NODE]
asn=2013 	id=3   	Node	scanning on channel=15...[NODE]
asn=2113 	id=4   	Node	scanning on channel=26...[NODE]
asn=2113 	id=3   	Node	scanning on channel=26...[NODE]
asn=2213 	id=4   	Node	scanning on channel=25...[NODE]
asn=2213 	id=3   	Node	scanning on channel=20...[NODE]
asn=2313 	id=4   	Node	scanning on channel=26...[NODE]
asn=2313 	id=3   	Node	scanning on channel=15...[NODE]
asn=2325 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=2325 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2353 	id=2   	Node	Get Nexthop id for destination: 1 [ROUTE]
asn=2353 	id=2   	Node	Nexthop id: 1 found for destination: 1 [ROUTE]
asn=2353 	id=2   	App	generate a packet, seqnum=1 for=1 [PACKET_SOURCE]
asn=2353 	id=2   	TSCH	On packet ready called from new scheduler [SCHEDULER NEW]
asn=2353 	id=2   	TSCH	Schedule File Read successfully [SCHEDULER NEW]
asn=2353 	id=2   	TSCH	Schedule File loaded into struct successfully [SCHEDULER NEW]
asn=2353 	id=2   	TSCH	Node: 2  length: 3 on packet ready
asn=2353 	id=2   	TSCH	Schedule: [src: 2, dest: 1, ts: 1, co: 1]
asn=2353 	id=2   	TSCH	schedule packet [src: 2, dest: 1, seqnum: 1], channel offset=1 timeslot=1[SCHEDULER NEW]
asn=2353 	id=2   	Main	On prepare tx packet method called from Manual Routing [ROUTING MANUAL]
asn=2356 	id=1   	App	rx app packet seqnum=1 from=2 at cell [ts: 1, co: 1][NODE]
asn=2356 	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=1 packet buffer: timeslot: 1 channel offset: 1 acked=true, remove packet[NODE]
asn=2356 	id=2   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=2356 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2413 	id=3   	Node	scanning on channel=20...[NODE]
asn=2513 	id=4   	Node	scanning on channel=25...[NODE]
asn=2513 	id=3   	Node	scanning on channel=25...[NODE]
asn=2613 	id=4   	Node	scanning on channel=20...[NODE]
asn=2613 	id=3   	Node	scanning on channel=15...[NODE]
asn=2713 	id=4   	Node	scanning on channel=26...[NODE]
asn=2713 	id=3   	Node	scanning on channel=26...[NODE]
asn=2813 	id=4   	Node	scanning on channel=20...[NODE]
asn=2813 	id=3   	Node	scanning on channel=20...[NODE]
asn=2913 	id=4   	Node	scanning on channel=26...[NODE]
asn=2913 	id=3   	Node	scanning on channel=25...[NODE]
asn=2955 	id=2   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=2955 	id=1   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=2955 	id=1   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3013 	id=4   	Node	scanning on channel=15...[NODE]
asn=3013 	id=3   	Node	scanning on channel=20...[NODE]
asn=3113 	id=4   	Node	scanning on channel=25...[NODE]
asn=3213 	id=3   	Node	scanning on channel=26...[NODE]
asn=3314 	id=4   	Node	scanning on channel=15...[NODE]
asn=3314 	id=3   	Node	scanning on channel=15...[NODE]
asn=3516 	id=4   	Node	scanning on channel=20...[NODE]
asn=3516 	id=3   	Node	scanning on channel=25...[NODE]
asn=3617 	id=3   	Node	scanning on channel=26...[NODE]
asn=3718 	id=4   	Node	scanning on channel=26...[NODE]
asn=3718 	id=3   	Node	scanning on channel=25...[NODE]
asn=3765 	id=3   	Node	add neighbor id=2 [NODE]
asn=3765 	id=3   	Node	Add_route called from ensure neighbor
asn=3765 	id=3   	TSCH	joined/associated at 37.65 on receiving an EB packet from 2[NODE]
asn=3765 	id=3   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=3765 	id=3   	Node	update time source called [NODE]
asn=3765 	id=3   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=3765 	id=3   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=3765 	id=3   	Node	Start method called from Manual Routing for 3
asn=3765 	id=3   	Node	Route File Read successfully [ROUTING MANUAL]
asn=3765 	id=3   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=3765 	id=3   	Node	Reading routes for Node 3 [ROUTING MANUAL]
